1,Adrenal Cancer,Obesity Excessive hair growth in face for female Short stature Small penis
2,Allergic rhinitis,"Hearing problem Discharge (Ear) Ear pain sudden onset facial weakness Recurrent cold Sneezing Common cold with ear itching bleeding from nose nasal block nasal dicharge watering of eyes Throat irritation,voice changes acidity problem forein body sensation throat"
3,Cancer,Cancer buccal mucosa Cancer tongue Skin cancer Cancer ovary Cancer esophagus Cancer larynx Cancer pharynx Cancer tonsil Cancer Thyroid Cancer cervix Cancer endometrium Cancer vagina/ vulva Cancer uterus Malignant melanoma Head and neck cancer Cancer breast Cancer rectum Cancer cervical gland Melanoma Carcinoma Nasopharyngeal sinus
4,Cancer of the pharynx or larynx,Ear discharge Hearing loss�Ear ache�Swelling in the ear Nose block�Discharge Sneezing�Bleeding from the nose�Recurrent sore throat�Change of voice�Difficulty in swallowing
5,Central Nerves System Defect,Severe head ache Recurrent Seizure Giddiness Unclean Speech Memory loss Weakness of Right or Left Upperlimb Weakness of both upper limb and lower limb Involuntary movement of upperlimbs or lower limbs Imbalance while walking Chronic head ache Learning Disorder Wasting of muscles Tremors of upper limb and lower limb
6,Cervical spondylosis,Difficulty in walking Back pain Neck pain Weakness of upper limbs and lower limbs Post trauma Bed sore
7,Chronic kidney disease,Facial puffiness Bilateral Pedel edema Dryness oral and skin Hair fall Pallor Breathing Difficulty Loss of Appetite Bad smell (oral)
8,Common colds,Common Ear Nose and Throat problems Voice Change Throat discomfort Difficulty on swallowing Blocking sensation in the throat
9,Congenital deafness and acquired deafness ,ear pain discharge hearing loss requiring Cochlear implant in adults and children vertigo Tinnitus Giddiness with Nausea Surrounding rotating vertigo Imbalance while walking facial palsy
10,Coronary heart disease (CHD),Bradycardia Chest pain  Palpitations Shortness of Breath/Dysnea Tachycardia Claudication-leg Hypertension Syncope Claudication arm
11,Dengue,Fever Any of the following symptoms associated with fever - cough weight loss headache jaundice diarrhoea bodyache
12,Diarrhoea,Gas and Acidity Indigestion Hard Stool Vomiting Belching Hiccups Bloating Flatulence Mucoid Stool Worm Stool Loose Stool Frequency Dysentery Abdomen pain Constipation
13,Dwarfism,Obesity Excessive hair growth in face for female Short stature Small penis
